TrapID	x	y		LeopardRAI	SpHyRAI	HumanRAI
Lapct31	627245.934	7366972.253	/	0	0	2.941176471
Lapct32	621390.6353	7363031.913	/	0	0	3.846153846
Lapct33	620426.2609	7360228.638	/	1.923076923	0	3.846153846
Lapct34	623820.2178	7363272.947	/	0	0	4.807692308
Lapct35	627061.4186	7362074.283	/	6.730769231	0	5.769230769
Lapct36	626687.8935	7358756.419	/	0	0	3.125
Lapct37	623580.0954	7359892.33	/	0.961538462	0	12.5
Lapct38	623833.3686	7365710.033	/	0	0	6.730769231
Lapct39	630368.2064	7360400.966	/	0.961538462	0	9.615384615
Lapct40	635660.5714	7372023.828	/	1.923076923	0	3.846153846
Losct1	729218.4301	7192057.664	/	3.535353535	0	2.525252525
Losct2	731842.7846	7190567.528	/	7.5	0	9.166666667
Losct3	733721.9297	7191002.666	/	1.694915254	0	5.084745763
Losct4	730289.9749	7189134.683	/	12.06896552	0	5.172413793
Losct5	734088.2997	7189378.229	/	0	0	5.952380952
Losct6	735040.3076	7186599.792	/	1	0	14
Losct7	736368.0612	7188039.404	/	0	0	46.77419355
Losct8	736887.0058	7186473.114	/	1.666666667	0	4.166666667
Losct9	733188.3652	7187873.353	/	1.612903226	0	4.301075269
Losct10	731559.3234	7186915.21	/	11.53846154	0	4.807692308
Losct11	730582.4897	7185126.706	/	2.614379085	0	2.614379085
Losct12	729515.8605	7186602.329	/	1.515151515	0	1.515151515
Losct13	726794.7356	7185070.503	/	1.111111111	0	2.222222222
Losct14	728109.1976	7182954.772	/	0.900900901	0	3.603603604
Losct15	725425.1527	7183155.348	/	0	0	2.222222222
Losct16	725528.0562	7181259.689	/	2.678571429	0	2.678571429
Losct17	723348.6663	7182503.043	/	0.564971751	0	1.694915254
Losct18	727485.149	7179625.195	/	4.320987654	0	19.75308642
Losct19	724846.5854	7178781.013	/	0.847457627	0	25
Losct20	726660.0477	7177651.049	/	0.476190476	0	1.904761905
Losct21	729890.7798	7181176.626	/	0	0	5.263157895
Losct22	731861.1545	7183358.052	/	0	0	1.19047619
Losct23	724551.6329	7176730.244	/	5.737704918	0	9.016393443
Losct24	722410.61	7176791.534	/	5.084745763	0	12.71186441
Losct25	720198.4987	7177298.031	/	0	0	1.904761905
Losct26	718484.1329	7176639.1	/	0.943396226	0	3.773584906
Losct27	723609.7813	7179403.498	/	1.666666667	0	1.111111111
Losct28	728240.2808	7190249.071	/	2.727272727	0	2.727272727
Losct29	730884.6844	7194105.987	/	3.225806452	0	4.838709677
Losct30	726958.2999	7186827.578	/	2.222222222	0	2.222222222
Losct31	727352.3781	7176254.007	/	5.847953216	0	7.602339181
Losct32	720993.0307	7181136.946	/	3.8647343	0	1.449275362
Losct33	719585.4624	7174692.828	/	0	0	2.339181287
Losct34	719978.4024	7179202.17	/	0.966183575	0	2.415458937
Madct1	440760.8077	7267688.547	/	2.666666667	6.666666667	10.66666667
Madct6	438788.2177	7265411.11	/	0	0	5.319148936
Madct7	418797.3719	7264068.119	/	0	0	2.564102564
Madct8	420768.1989	7268185.583	/	0	1.282051282	6.41025641
Madct9	421743.7662	7266152.501	/	0	1.538461538	9.230769231
Madct10	421389.5197	7263341.154	/	0	0	14.47368421
Madct11	421971.077	7264046.503	/	2.222222222	7.777777778	6.666666667
Madct12	420048.3191	7260232.877	/	1.282051282	2.564102564	20.51282051
Madct13	420979.3089	7258675.75	/	0	2.173913043	3.260869565
Madct14	422652.9773	7255688.719	/	0	3.846153846	12.82051282
Madct15	421323.8915	7253029.072	/	0	2.5	15
Madct16	424278.7018	7251367.975	/	0	0	8.791208791
Madct17	427334.1669	7251553.858	/	0	8.791208791	6.593406593
Madct18	428539.2733	7252586.674	/	0	4.819277108	6.024096386
Madct19	424584.9094	7252649.76	/	0	0	7.446808511
Madct20	424656.9316	7255188.21	/	0	2.173913043	5.434782609
Madct21	428887.9556	7255708.973	/	0	1.449275362	10.14492754
Madct22	431098.5413	7253447.931	/	1.5625	4.6875	6.25
Madct23	432241.6048	7251567.799	/	1.063829787	13.82978723	6.382978723
Madct24	434497.0235	7251945.237	/	0	2.127659574	5.319148936
Madct25	417057.5904	7262762.194	/	0	1.388888889	4.166666667
Madct26	437099.9355	7267252.754	/	0	0	4.819277108
Madct27	435564.1774	7255154.881	/	0	1.063829787	5.319148936
Madct28	432916.0074	7256040.305	/	0	2.43902439	6.097560976
Madct29	437696.1053	7263345.537	/	1.063829787	1.063829787	3.191489362
Madct30	432270.8427	7261674.569	/	0	0	5.555555556
Madct31	430019.5644	7261171.707	/	0	0	5.681818182
Madct32	428219.4201	7262218.879	/	0	2.150537634	4.301075269
Madct33	426563.9532	7263391.72	/	0	1.063829787	20.21276596
Madct34	430303.3002	7269691.794	/	0	1.063829787	3.191489362
Madct35	428974.2361	7264885.905	/	0	1.063829787	3.191489362
Madct36	432588.2738	7265633.69	/	1.136363636	7.954545455	3.409090909
Madct37	433768.8069	7262630.797	/	0	4.255319149	3.191489362
Madct38	428779.2395	7266814.977	/	0	4.838709677	9.677419355
Madct39	432506.2595	7268352.865	/	0	4.166666667	8.333333333
Madct40	434226.3394	7265938.324	/	0	4.545454545	27.27272727
Pilct1	504868.2476	7207892.53	/	1.219512195	0	4.268292683
Pilct2	506870.7568	7210712.008	/	3.333333333	0	4.444444444
Pilct3	502543.5126	7211214.02	/	3.703703704	0	4.444444444
Pilct4	502316.5552	7209414.667	/	0.740740741	0	3.703703704
Pilct5	500076.5456	7209161.289	/	0	0	2.325581395
Pilct6	499112.8227	7206913.396	/	2.222222222	0	3.888888889
Pilct7	496984.0784	7206560.959	/	0	0	5.813953488
Pilct8	500314.1054	7203376.621	/	0	0	4.444444444
Pilct9	502625.8785	7204812.574	/	0	0	4.444444444
Pilct10	505143.829	7204300.265	/	0	0	8.888888889
Pilct11	503891.3882	7200946.581	/	2.222222222	0	5.925925926
Pilct12	505665.0758	7206023.056	/	0.740740741	0	7.407407407
Pilct13	507849.3241	7206336.445	/	1.481481481	0	7.407407407
Pilct14	518174.0781	7202795.226	/	0	0	6.666666667
Pilct15	508116.4105	7208413.628	/	2.222222222	0	8.888888889
Pilct16	509677.3129	7211034.739	/	0	0	5.555555556
Pilct17	512589.3339	7213049.881	/	0	0	4.06504065
Pilct18	516467.7339	7211918.473	/	0	0	3.255813953
Pilct19	515012.6999	7211589.074	/	2.777777778	0	6.111111111
Pilct20	519918.804	7211064.522	/	8.148148148	0	12.59259259
Pilct21	522151.2745	7209973.661	/	0.555555556	0	4.444444444
Pilct22	522285.5124	7208304.695	/	0.740740741	0	3.703703704
Pilct23	520007.3524	7207591.814	/	2.222222222	0	6.666666667
Pilct24	519792.4835	7205967.676	/	1.515151515	0	4.545454545
Pilct25	518699.2658	7207661.232	/	0	0	5.555555556
Pilct26	517333.768	7205377.523	/	0	0	7.777777778
Pilct27	515917.6315	7209289.238	/	2.222222222	0	8.888888889
Pilct28	515191.2329	7207305.745	/	0	0	3.888888889
Pilct29	513771.9277	7204956.408	/	0.740740741	0	5.925925926
Pilct30	513209.2367	7208201.438	/	3.333333333	0	13.33333333
Pilct31	510897.0472	7208369.596	/	3.703703704	0	11.11111111
Pilct32	510658.7435	7206301.302	/	1.111111111	0	5.555555556
Pilct33	512877.4633	7203517.76	/	1.111111111	0	4.444444444
Pilct34	509055.0057	7202334.913	/	3.888888889	0	7.777777778
Pilct35	510711.6666	7200661.627	/	8.888888889	0	5.925925926
Pilct36	505810.9949	7201138.567	/	1.111111111	0	12.22222222
