Site,X,Y
Welgevonden,583557.1964,7314654.583
Welgevonden,586531.7221,7314574.686
Welgevonden,588614.4965,7314405.657
Welgevonden,590120.8844,7312035.341
Welgevonden,588289.5249,7312916.145
Welgevonden,584281.7849,7312249.661
Welgevonden,577789.232,7310838.576
Welgevonden,580537.2209,7312459.743
Welgevonden,579662.1667,7309895.795
Welgevonden,581740.2696,7310434.238
Welgevonden,583572.185,7309811.174
Welgevonden,585719.6118,7310877.918
Welgevonden,588945.7828,7309793.833
Welgevonden,590049.7809,7310592.96
Welgevonden,591619.2469,7310071.278
Welgevonden,586047.278,7308199.561
Welgevonden,581302.8269,7307950.885
Welgevonden,574469.4201,7320932.627
Welgevonden,581451.589,7305779.721
Welgevonden,583977.1516,7306593.159
Welgevonden,577143.4288,7319691.475
Welgevonden,590268.1277,7322398.824
Welgevonden,582398.6521,7304331.397
Welgevonden,579857.9162,7316527.334
Welgevonden,573457.7018,7318907.187
Welgevonden,584927.9382,7316762.462
Welgevonden,588056.3394,7315725.732
Welgevonden,590948.0339,7316461.519
Welgevonden,580477.2942,7320305.191
Welgevonden,582623.6968,7319926.331
Welgevonden,584109.6591,7320343.897
Welgevonden,588570.6245,7320861.518
Wonderkop,670435.4529,7425210.554
Wonderkop,664738.6415,7430192.246
Wonderkop,662508.3292,7431870.105
Wonderkop,665120.014,7432927.915
Wonderkop,666576.8932,7430480.578
Wonderkop,667879.6111,7431639.968
Wonderkop,669702.2915,7432233.979
Wonderkop,669395.6838,7430034.689
Wonderkop,667700.8686,7433206.817
Wonderkop,671225.0601,7431491.13
Wonderkop,669738.7204,7422890.686
Wonderkop,671812.8955,7428500.58
Wonderkop,673347.3129,7426858.081
Wonderkop,670203.426,7427184.718
Wonderkop,671007.9945,7421808.474
Wonderkop,668706.0044,7424456.356
Wonderkop,666156.9023,7419851.257
Wonderkop,670496.0801,7420068.892
Wonderkop,669981.8378,7415744.36
Wonderkop,669215.9347,7413411.968
Wonderkop,667702.4988,7413921.017
Wonderkop,665956.0381,7418449.209
Wonderkop,666276.8041,7416324.778
Wonderkop,664438.1638,7415407.473
Wonderkop,663027.7787,7413605.646
Wonderkop,665135.6216,7414315.408
Wonderkop,660942.3831,7413806.824
Wonderkop,660865.0596,7411973.739
Wonderkop,661999.207,7411459.638
Wonderkop,664172.3434,7412374.752
